customer_message,brand_response,human_intent,human_decision,human_reason,simple_reply_pred,trivial_intent,trivial_decision,trivial_reply,simple_intent,simple_decision
"Attempt #1: Soap bottle cracked due to padded envelope 
Attempt #2: Soap is missing a pump... 
Am I missing something ???

@115821 @AmazonHelp https://t.co/KVpEdz7ZJj",@669036 Yikes! I'm so sorry to hear you've had multiple issues with getting this item delivered. We'd like a chance to speak with you and see what options we have. Please reach us via phone or chat: https://t.co/hApLpMlfHN ^DG,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@669036 Yikes! I'm so sorry to hear you've had multiple issues with getting this item delivered. We'd like a chance to speak with you and see what options we have. Please reach us via phone or chat: https://t.co/hApLpMlfHN ^DG,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp Thanks for not replying. I still haven’t received my order.,@480180 Hi Kyle - the order status advises before 16 Nov - is there any tracking available for the carrier yet ? ^TD,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@480180 Hi Kyle - the order status advises before 16 Nov - is there any tracking available for the carrier yet ? ^TD,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp @115851 @118702 @122599 @122951 @14281 @2517 @137849 @12180 @20871,"@137847 Sorry for the hassle, Ashoni. We'd like to help you, please share your details here: https://t.co/beaaDm0muc and we’ll contact you soon. ^SM",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@137847 Sorry for the hassle, Ashoni. We'd like to help you, please share your details here: https://t.co/beaaDm0muc and we’ll contact you soon. ^SM",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"@AmazonHelp 寛大なご配慮どうもありがとうございますm()m
実際の注文等で分からないことがありましたら質問させて頂くかもしれませんので、今後共よろしくお願いいたしますm()m",@557227 こちらこそ、恐れ入ります。今後ともご利用の際に何かお困りのことやご不明点があれば、いつでもご遠慮なくお問い合わせください。これからもどうぞAmazonをご愛顧賜りますよう…。 RI,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@557227 こちらこそ、恐れ入ります。今後ともご利用の際に何かお困りのことやご不明点があれば、いつでもご遠慮なくお問い合わせください。これからもどうぞAmazonをご愛顧賜りますよう…。 RI,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"Every time I see, ""Shipped with AMZL US""  I become concerned.  @115821 delivery has not yet delivered a package on time.  #PrimeProblems","@261169 Oh no! I'm sorry to hear that you've had these negative experiences. Have you been able to reach out to us for assistance with these late packages?  If so, what options were you given?  ^SP",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@261169 Oh no! I'm sorry to hear that you've had these negative experiences. Have you been able to reach out to us for assistance with these late packages?  If so, what options were you given?  ^SP",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
DJ Alex Reyes #djalexreyes will never be a customer of @81 after a package I ordered from @115821 is missing #fuckyoufedex https://t.co/qscdtzdcua,@169841 I'm sorry for the frustration. We'd like to look into this with you here: https://t.co/CYqkdUakWJ ^SJ,DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,@169841 I'm sorry for the frustration. We'd like to look into this with you here: https://t.co/CYqkdUakWJ ^SJ,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
@116618 hello,@379240 Hello! Thanks for reaching out to us. How can we help? ^DD,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@379240 Hello! Thanks for reaching out to us. How can we help? ^DD,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"@AmazonHelp Yes, on 20th nov i got the same correspondence which was given to me by 10 amazon cc reps , 3 escalation team reps and 2 leadership people.
40 days same correspondece copy paste.
results ?
@119356 @118919 @115850","@147313 In that case, I would request you to reply to the email correspondence from our social media team with your further insight and we'll reply you accordingly. ^HS",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@147313 In that case, I would request you to reply to the email correspondence from our social media team with your further insight and we'll reply you accordingly. ^HS",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp Received an item which wasn't ordered by us. Can you please look into this? Order #1050294190,"@353139 We can not access accounts via Social Media - if addressed to you, was there a gift message inside ? ^TD",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@353139 We can not access accounts via Social Media - if addressed to you, was there a gift message inside ? ^TD",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@116928 No ha hecho nada para resolver este problema con @137863,"@341648 Hola, lamento las molestias. ¿Tienes un pedido pendiente de entrega con @137863? ^LG",DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,"@341648 Hola, lamento las molestias. ¿Tienes un pedido pendiente de entrega con @137863? ^LG",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
